VideoID,Site,Title,Performers,Rating,Director,Description,Runtime,Release Date,Year,Pictures,Video URL,Thumbnail URL,Thumbnail Filename
105395,Tushy,Anal-Curious MILF Gapes For Masseuse,"BONNI GEE, ALBERTO BLANCO",8.9,Julia Grandi,"Bonni is learning to relax, but a good book only goes so deep. What would really help her undwind is a strenuous encounter with a guy who can curl her toes and blow her back out.",38:07:00,16-Mar-25,2025,114,https://www.tushy.com/videos/anal-curious-milf-gapes-for-masseuse,https://cdn.tushy.com/scene/videoimages/105395/mainLandscape/1741334009643/tushy-051524-bo-g_3840x2160.jpeg,105395.jpeg
105348,Tushy,Redhead Has Secret Anal Obsession,"MARINA GOLD, DANTE COLLE",8.8,Laurent Sky,"Marina's dad has a reputation to uphold, but she's his biggest liability. Emphasis on ""lie"": the minute she's left alone, every guy stateside is dying for a crack at her ass.",40:38:00,09-Mar-25,2025,73,https://www.tushy.com/videos/redhead-has-secret-anal-obsession,https://cdn.tushy.com/scene/videoimages/105348/mainLandscape/1740565783574/tushy-100124-ma-g_3840x2160.jpeg,105348.jpeg
105347,Tushy,Campus Bad Girl Has Intense Anal,"STELLA BAREY, VINCE KARTER",9.4,Laurent Sky,"Stella can't stand old movies, but she can't pull her eyes off her professor. Maybe after his film appreciation lecture this campus bad girl can show him the merits of contemporary hardcore.",46:55:00,03-Mar-25,2025,63,https://www.tushy.com/videos/campus-bad-girl-has-intense-anal,https://cdn.tushy.com/scene/videoimages/105347/mainLandscape/1739981941232/tushy-060923-st-ba_3840x2160.jpeg,105347.jpeg
105255,Tushy,Bang And Burn - Mission 001 Compromising Positions,"BELLA SPARK, ALBERTO BLANCO",9.3,Julia Grandi,"Her codename: Swallow. Her mission: infiltration. Her weapon: feminine wiles. It's a post-privacy world, and Bella is a post-privacy girl. The first mission in our erotic four-part spy series. Sneak up on Part Two of the action on VIXEN.",39:25:00,24-Feb-25,2025,109,https://www.tushy.com/videos/bang-and-burn-mission-001-compromising-positions,https://cdn.tushy.com/scene/videoimages/105255/mainLandscape/1739823040087/tushy-bang-and-burn-mission-001-compromising-positions_3840x2160.jpeg,105255.jpeg
105312,Tushy,Gorgeous Anal Craving Babe Gets Ass Drilled,"BABY NICOLS, CHRISTIAN CLAY",9,Julia Grandi,"Baby is willing to loosen up her bedroom boundaries for an older guy who knows his way around a woman's body, and at a weekend party she's on the hunt for a guy of the right vintage.",39:07:00,17-Feb-25,2025,109,https://www.tushy.com/videos/gorgeous-anal-craving-babe-gets-ass-drilled,https://cdn.tushy.com/scene/videoimages/105312/mainLandscape/1739823293983/tushy-gorgeous-anal-craving-babe-gets-ass-drilled_3840x2160.jpeg,105312.jpeg
105300,Tushy,Anal Crazy Scarlett Seduces Sisters Hubby,"SCARLETT ALEXIS, DAN DAMAGE",9.1,Laurent Sky,"Scarlett's sister invited her to visit LA and this cutie is making herself right at home. Scarlett has always taken her big sister's things, but this time she's letting sis's sexually frustrated husband take her in the ass.",43:40:00,10-Feb-25,2025,70,https://www.tushy.com/videos/anal-crazy-scarlett-seduces-sisters-hubby,https://cdn.tushy.com/scene/videoimages/105300/mainLandscape/1738319207454/tushy-050824-sc-a_3840x2160.jpeg,105300.jpeg
105267,Tushy,Stunning Redhead Has Intense DP Orgasm,"DOLLY DYSON, ALBERTO BLANCO, MATTHEW MEIER",9.4,Julia Grandi,"Dolly loves attention - the more, the better. When another man comes along, she lets the guy she's been seeing know in no uncertain terms that he can keep sleeping with her... but only if he's willing to share.",49:20:00,03-Feb-25,2025,112,https://www.tushy.com/videos/stunning-redhead-has-intense-dp-orgasm,https://cdn.tushy.com/scene/videoimages/105267/mainLandscape/1737632389489/tushy-stunning-redhead-has-intense-dp-orgasm_3840x2160.jpeg,105267.jpeg
105227,Tushy,Kendra Sunderland First Anal Experience,"KENDRA SUNDERLAND, HOLLYWOOD CASH",8.3,Derek Dozer,"Kendra's returning to her old stomping grounds to start a new chapter. A lifetime ban won't stop her from getting checked out at her favorite library, or doubling down on the public indecency with some deep research into anal unknowns.",34:18:00,28-Jan-25,2025,75,https://www.tushy.com/videos/kendra-sunderland-first-anal-experience,https://cdn.tushy.com/scene/videoimages/105227/mainLandscape/1737128565961/tushy-kendra-sunderland-first-anal-experience_3840x2160.jpeg,105227.jpeg
105223,Tushy,Tight Blonde Shows Off Little Ass,"DAKOTA LYN, DANTE COLLE",9.3,Derek Dozer,"Exhibitionist and voyeur, brought together as nature intended: Dakota's neighbor likes to watch, and if she's going to be getting off anyway, she's happy to squeeze in a show.",31:33:00,20-Jan-25,2025,66,https://www.tushy.com/videos/tight-blonde-shows-off-little-ass,https://cdn.tushy.com/scene/videoimages/105223/mainLandscape/1736937661106/tushy-tight-blonde-shows-off-little-ass_3840x2160.jpeg,105223.jpeg
105190,Tushy,Fit Redhead Has Tight Ass Filled,"HOLLY MOLLY, VINCE KARTER",9.1,Julia Grandi,"Classic redhead behaviour: Holly can't help acting naughty onset. This model gives her photographer a serious scare, but only because bratting always gets her the backdoor attention she's after.",33:41:00,13-Jan-25,2025,104,https://www.tushy.com/videos/fit-redhead-has-tight-ass-filled,https://cdn.tushy.com/scene/videoimages/105190/mainLandscape/1736360934129/tushy-fit-redhead-has-tight-ass-filled_3840x2160.jpeg,105190.jpeg
